Provinsi,Kabupaten_Kota,Tahun,Jenis_Industri,Jumlah_Perusahaan,Jumlah_Tenaga_Kerja,Investasi_Ribu_Rp,Nilai_Produksi_Ribu_Rp,Sumber_Tabel
Bengkulu,Bengkulu Selatan,2021.0,IBS,,,,,"Jumlah Perusahaan, Tenaga Kerja, Investasi, dan Nilai Produksi pada Industri Besar dan Sedang Menurut Kabupaten/Kota, 2021"
Bengkulu,Bengkulu Selatan,2023.0,IBS,2.0,275.0,,,"Perusahaan Industri Besar dan Sedang Menurut Kabupaten/Kota di Provinsi Bengkulu, 2023"
Bengkulu,Bengkulu Tengah,2021.0,IBS,,,,,"Jumlah Perusahaan, Tenaga Kerja, Investasi, dan Nilai Produksi pada Industri Besar dan Sedang Menurut Kabupaten/Kota, 2021"
Bengkulu,Bengkulu Tengah,2023.0,IBS,8.0,690.0,,,"Perusahaan Industri Besar dan Sedang Menurut Kabupaten/Kota di Provinsi Bengkulu, 2023"
Bengkulu,Bengkulu Utara,2021.0,IBS,,,,,"Jumlah Perusahaan, Tenaga Kerja, Investasi, dan Nilai Produksi pada Industri Besar dan Sedang Menurut Kabupaten/Kota, 2021"
Bengkulu,Bengkulu Utara,2023.0,IBS,13.0,1309.0,,,"Perusahaan Industri Besar dan Sedang Menurut Kabupaten/Kota di Provinsi Bengkulu, 2023"
Bengkulu,Kaur,2021.0,IBS,,,,,"Jumlah Perusahaan, Tenaga Kerja, Investasi, dan Nilai Produksi pada Industri Besar dan Sedang Menurut Kabupaten/Kota, 2021"
Bengkulu,Kaur,2023.0,IBS,3.0,,,,"Perusahaan Industri Besar dan Sedang Menurut Kabupaten/Kota di Provinsi Bengkulu, 2023"
Bengkulu,Kepahiang,2021.0,IBS,,,,,"Jumlah Perusahaan, Tenaga Kerja, Investasi, dan Nilai Produksi pada Industri Besar dan Sedang Menurut Kabupaten/Kota, 2021"
Bengkulu,Kepahiang,2023.0,IBS,3.0,307.0,,,"Perusahaan Industri Besar dan Sedang Menurut Kabupaten/Kota di Provinsi Bengkulu, 2023"
Bengkulu,Kota Bengkulu,2021.0,IBS,,,,,"Jumlah Perusahaan, Tenaga Kerja, Investasi, dan Nilai Produksi pada Industri Besar dan Sedang Menurut Kabupaten/Kota, 2021"
Bengkulu,Kota Bengkulu,2023.0,IBS,19.0,647.0,,,"Perusahaan Industri Besar dan Sedang Menurut Kabupaten/Kota di Provinsi Bengkulu, 2023"
